ID,Üniversite,Bölüm,En Küçük Puan
1601,KARADENIZ TEKNIK UNIVERSITESI,Deniz Ulastirma Isletme Muhendisligi,393.46894
1602,EGE UNIVERSITESI,Sinif Ogretmenligi,393.45109
1603,ISTANBUL OKAN UNIVERSITESI,Psikoloji,393.42757
1604,UFUK UNIVERSITESI,Psikoloji,393.39836
1605,AMASYA UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,393.39602
1606,IZMIR KATIP CELEBI UNIVERSITESI,Psikoloji,393.37136
1607,MARMARA UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,393.34927
1608,ISTANBUL AYDIN UNIVERSITESI,Arapca Mutercim ve Tercumanlik,393.20453
1609,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Istatistik,393.16453
1610,ANKARA UNIVERSITESI,Sinif Ogretmenligi,393.14017
1611,GAZI UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,393.12762
1612,ISTANBUL UNIVERSITESI,Endustriyel Tasarim,393.10703
1613,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Sanat Tarihi,392.96556
1614,GIRESUN UNIVERSITESI,Okul Oncesi Ogretmenligi,392.96008
1615,BIRUNI UNIVERSITESI,Biyomedikal Muhendisligi,392.86496
1616,KIRSEHIR AHI EVRAN UNIVERSITESI,Okul Oncesi Ogretmenligi,392.82371
1617,ANKARA MEDIPOL UNIVERSITESI,Beslenme ve Diyetetik,392.75783
1618,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Okul Oncesi Ogretmenligi,392.75572
1619,KILIS 7 ARALIK UNIVERSITESI,Okul Oncesi Ogretmenligi,392.72892
1620,YEDITEPE UNIVERSITESI,Hemsirelik,392.66075
1621,SINOP UNIVERSITESI,Okul Oncesi Ogretmenligi,392.61854
1622,MERSIN UNIVERSITESI,Turkce Ogretmenligi,392.37964
1623,HASAN KALYONCU UNIVERSITESI,Mimarlik,392.36506
1624,AKDENIZ UNIVERSITESI,Rus Dili ve Edebiyati,392.29954
1625,LEFKE AVRUPA UNIVERSITESI,Hukuk,392.29936
1626,KARAMANOGLU MEHMETBEY UNIVERSITESI,Okul Oncesi Ogretmenligi,392.28872
1627,TOKAT GAZIOSMANPASA UNIVERSITESI,Okul Oncesi Ogretmenligi,392.28531
1628,ISTANBUL UNIVERSITESI,Cagdas Yunan Dili ve Edebiyati,392.24913
1629,YAKIN DOGU UNIVERSITESI,Hukuk,391.91051
1630,MUGLA SITKI KOCMAN UNIVERSITESI,Dil ve Konusma Terapisi,391.87334
1631,BASKENT UNIVERSITESI,Iktisat,391.83782
1632,KARAMANOGLU MEHMETBEY UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,391.8052
1633,MANISA CELÂL BAYAR UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,391.74739
1634,GEBZE TEKNIK UNIVERSITESI,Mimarlik,391.71376
1635,PAMUKKALE UNIVERSITESI,Turkce Ogretmenligi,391.65954
1636,ISTANBUL UNIVERSITESI,Tiyatro Elestirmenligi ve Dramaturji,391.65247
1637,KASTAMONU UNIVERSITESI,Okul Oncesi Ogretmenligi,391.45382
1638,ISTANBUL TICARET UNIVERSITESI,Psikoloji,391.44159
1639,HACETTEPE UNIVERSITESI,Fizik Ogretmenligi,391.44111
1640,KOCAELI UNIVERSITESI,Turkce Ogretmenligi,391.42663
1641,ANTALYA BILIM UNIVERSITESI,Mimarlik,391.37113
1642,DUZCE UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,391.33787
1643,DOKUZ EYLUL UNIVERSITESI,Veteriner,391.29543
1644,ISTANBUL AYDIN UNIVERSITESI,Yeni Medya ve Iletisim,391.29467
1645,SELCUK UNIVERSITESI,Ingiliz Dili ve Edebiyati,391.2061
1646,ANKARA UNIVERSITESI,Politika ve Ekonomi,391.19454
1647,ULUSLARARASI KIBRIS UNIVERSITESI,Hukuk,391.15895
1648,ANADOLU UNIVERSITESI,Sinif Ogretmenligi,391.09224
1649,KAFKAS UNIVERSITESI,Okul Oncesi Ogretmenligi,391.02656
1650,ISTANBUL NISANTASI UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,391.00508
1651,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Veteriner,390.96125
1652,ERCIYES UNIVERSITESI,Turkce Ogretmenligi,390.89984
1653,MALTEPE UNIVERSITESI,Gorsel Iletisim Tasarimi,390.89732
1654,ARTVIN CORUH UNIVERSITESI,Okul Oncesi Ogretmenligi,390.78417
1655,TOKAT GAZIOSMANPASA UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,390.69015
1656,AYDIN ADNAN MENDERES UNIVERSITESI,Turkce Ogretmenligi,390.63457
1657,YOZGAT BOZOK UNIVERSITESI,Okul Oncesi Ogretmenligi,390.61461
1658,ISTINYE UNIVERSITESI,Matematik,390.5841
1659,VAN YUZUNCU YIL UNIVERSITESI,Turkce Ogretmenligi,390.52564
1660,ISTANBUL BILGI UNIVERSITESI,Turizm Isletmeciligi,390.49886
1661,GIRNE AMERIKAN UNIVERSITESI,Hukuk,390.43483
1662,ISTANBUL AYDIN UNIVERSITESI,Psikoloji,390.3935
1663,VAN YUZUNCU YIL UNIVERSITESI,Hemsirelik,390.34408
1664,KARADENIZ TEKNIK UNIVERSITESI,Ingiliz Dili ve Edebiyati,390.33058
1665,BAYBURT UNIVERSITESI,Okul Oncesi Ogretmenligi,390.25641
1666,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Yonetim Bilisim Sistemleri,390.21112
1667,BALIKESIR UNIVERSITESI,Turkce Ogretmenligi,390.18009
1668,AKDENIZ UNIVERSITESI,Yonetim Bilisim Sistemleri,390.14521
1669,MERSIN UNIVERSITESI,Ingiliz Dilbilimi,390.10631
1670,BASKENT UNIVERSITESI,Isletme,390.09951
1671,ISTANBUL KULTUR UNIVERSITESI,Psikoloji,389.97834
1672,ISTANBUL BILGI UNIVERSITESI,Lojistik Yonetimi,389.94732
1673,GIRNE UNIVERSITESI,Hukuk,389.92975
1674,NECMETTIN ERBAKAN UNIVERSITESI,Turkce Ogretmenligi,389.89259
1675,CANAKKALE ONSEKIZ MART UNIVERSITESI,Psikoloji,389.89144
1676,HACETTEPE UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,389.85615
1677,HACETTEPE UNIVERSITESI,Ergoterapi,389.83312
1678,ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,Gida Muhendisligi,389.72436
1679,ATILIM UNIVERSITESI,Halkla Iliskiler ve Reklamcilik,389.70324
1680,ALANYA UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,389.69036
1681,ISIK UNIVERSITESI,Biyomedikal Muhendisligi,389.64911
1682,ONDOKUZ MAYIS UNIVERSITESI,Psikoloji,389.6385
1683,IZMIR BAKIRCAY UNIVERSITESI,Yonetim Bilisim Sistemleri,389.63405
1684,SIVAS BILIM VE TEKNOLOJI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,389.58249
1685,ISTINYE UNIVERSITESI,Gorsel Iletisim Tasarimi,389.57439
1686,FENERBAHCE UNIVERSITESI,Yeni Medya ve Iletisim,389.57378
1687,ATILIM UNIVERSITESI,Matematik,389.43606
1688,ISTANBUL TICARET UNIVERSITESI,Mimarlik,389.42158
1689,ANKARA BILIM UNIVERSITESI,Film Tasarimi ve Yonetimi,389.33762
1690,EGE UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,389.2114
1691,YALOVA UNIVERSITESI,Endustri Muhendisligi,389.21019
1692,BASKENT UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,389.13538
1693,ANKARA HACI BAYRAM VELI UNIVERSITESI,Fransiz Dili ve Edebiyati,389.13518
1694,HARRAN UNIVERSITESI,Ingilizce Ogretmenligi,389.11074
1695,ISTANBUL BEYKENT UNIVERSITESI,Yeni Medya,388.90605
1696,SULEYMAN DEMIREL UNIVERSITESI,Ingiliz Dili ve Edebiyati,388.90387
1697,ESKISEHIR OSMANGAZI UNIVERSITESI,Mimarlik,388.85431
1698,ANKARA HACI BAYRAM VELI UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,388.83924
1699,MUGLA SITKI KOCMAN UNIVERSITESI,Turkce Ogretmenligi,388.83444
1700,ISTANBUL 29 MAYIS UNIVERSITESI,Yonetim Bilisim Sistemleri,388.82402
1701,ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,Havacilik ve Uzay Muhendisligi,388.76577
1702,DOKUZ EYLUL UNIVERSITESI,Tarih Ogretmenligi,388.76462
1703,SAKARYA UNIVERSITESI,Turkce Ogretmenligi,388.75063
1704,ANKARA SOSYAL BILIMLER UNIVERSITESI,Tarih,388.69114
1705,CUKUROVA UNIVERSITESI,Sinif Ogretmenligi,388.64013
1706,GEBZE TEKNIK UNIVERSITESI,Matematik,388.63826
1707,MARMARA UNIVERSITESI,Cografya Ogretmenligi,388.61782
1708,ULUSLARARASI FINAL UNIVERSITESI,Hukuk,388.58254
1709,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Ingilizce Ogretmenligi,388.52259
1710,YOZGAT BOZOK UNIVERSITESI,Ingilizce Ogretmenligi,388.40286
1711,ISIK UNIVERSITESI,Mimarlik,388.34561
1712,MARMARA UNIVERSITESI,Sinif Ogretmenligi,388.29557
1713,TED UNIVERSITESI,Sinif Ogretmenligi,388.29515
1714,HACETTEPE UNIVERSITESI,Biyoloji,388.26629
1715,ISTANBUL AYDIN UNIVERSITESI,Arapca Ogretmenligi,388.08516
1716,TURK HAVA KURUMU UNIVERSITESI,Yonetim Bilisim Sistemleri,388.03551
1717,ISTANBUL UNIVERSITESI,Ilahiyat,387.77236
1718,SINOP UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,387.75891
1719,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Turkce Ogretmenligi,387.73494
1720,ANTALYA BILIM UNIVERSITESI,Psikoloji,387.64532
1721,ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,Turkce Ogretmenligi,387.57046
1722,ABDULLAH GUL UNIVERSITESI,Makine Muhendisligi,387.46548
1723,YASAR UNIVERSITESI,Uluslararasi Iliskiler,387.4409
1724,SULEYMAN DEMIREL UNIVERSITESI,Turkce Ogretmenligi,387.33458
1725,ISTANBUL BEYKENT UNIVERSITESI,"Radyo, Televizyon ve Sinema",387.29671
1726,KAPADOKYA UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,387.28337
1727,ANADOLU UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,387.27497
1728,ISTANBUL YENI YUZYIL UNIVERSITESI,Mimarlik,387.23893
1729,ADA KENT UNIVERSITESI,Hukuk,387.13002
1730,KIBRIS ILIM UNIVERSITESI,Hukuk,387.05562
1731,FIRAT UNIVERSITESI,Turkce Ogretmenligi,386.9591
1732,BASKENT UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,386.93922
1733,AFYON KOCATEPE UNIVERSITESI,Veteriner,386.86325
1734,YASAR UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,386.85826
1735,YASAR UNIVERSITESI,Lojistik Yonetimi,386.83977
1736,ISTANBUL AREL UNIVERSITESI,Molekuler Biyoloji ve Genetik,386.76122
1737,ABDULLAH GUL UNIVERSITESI,Psikoloji,386.69241
1738,ISTANBUL UNIVERSITESI,Hemsirelik,386.59526
1739,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Ingilizce Ogretmenligi,386.58366
1740,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,386.56166
1741,TOROS UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,386.47413
1742,BURSA ULUDAG UNIVERSITESI,Sinif Ogretmenligi,386.46919
1743,ISIK UNIVERSITESI,Psikoloji,386.43286
1744,MARMARA UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,386.4167
1745,DOGU AKDENIZ UNIVERSITESI,Okul Oncesi Ogretmenligi,386.35434
1746,SAGLIK BILIMLERI UNIVERSITESI,Psikoloji,386.32075
1747,TRABZON UNIVERSITESI,Turkce Ogretmenligi,386.30309
1748,ISTANBUL NISANTASI UNIVERSITESI,Mekatronik Muhendisligi,386.29708
1749,INONU UNIVERSITESI,Turkce Ogretmenligi,386.28575
1750,ISTINYE UNIVERSITESI,"Radyo, Televizyon ve Sinema",386.26902
1751,TURK HAVA KURUMU UNIVERSITESI,Havacilik Yonetimi,386.22593
1752,IZMIR KATIP CELEBI UNIVERSITESI,Matematik,386.19468
1753,HACETTEPE UNIVERSITESI,Kimya Ogretmenligi,386.16209
1754,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Turkce Ogretmenligi,386.06431
1755,ATILIM UNIVERSITESI,Beslenme ve Diyetetik,385.99147
1756,FATIH SULTAN MEHMET VAKIF UNIVERSITESI,Psikoloji,385.9164
1757,KAPADOKYA UNIVERSITESI,Ucak Govde ve Motor Bakimi,385.86515
1758,YILDIZ TEKNIK UNIVERSITESI,Sosyal Bilgiler Ogretmenligi,385.85695
1759,AKDENIZ UNIVERSITESI,Sinif Ogretmenligi,385.74311
1760,YILDIZ TEKNIK UNIVERSITESI,Sinif Ogretmenligi,385.68066
1761,IZMIR EKONOMI UNIVERSITESI,Hemsirelik,385.67969
1762,DOKUZ EYLUL UNIVERSITESI,Sinif Ogretmenligi,385.6203
1763,SAKARYA UNIVERSITESI,Metalurji ve Malzeme Muhendisligi,385.6127
1764,FATIH SULTAN MEHMET VAKIF UNIVERSITESI,Islami Ilimler,385.55415
1765,ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,385.52288
1766,DOGU AKDENIZ UNIVERSITESI,Endustri Muhendisligi,385.52284
1767,BURSA TEKNIK UNIVERSITESI,Psikoloji,385.50278
1768,ISTANBUL ATLAS UNIVERSITESI,Molekuler Biyoloji ve Genetik,385.48625
1769,ANKARA BILIM UNIVERSITESI,Yonetim Bilisim Sistemleri,385.45486
1770,HALIC UNIVERSITESI,Gorsel Iletisim Tasarimi,385.45245
1771,ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,Gorsel Iletisim Tasarimi,385.4115
1772,ISTANBUL BEYKENT UNIVERSITESI,Endustriyel Tasarim,385.35078
1773,SAKARYA UNIVERSITESI,Yonetim Bilisim Sistemleri,385.3045
1774,YILDIZ TEKNIK UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,385.29609
1775,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,385.29463
1776,ANKARA HACI BAYRAM VELI UNIVERSITESI,Yonetim Bilisim Sistemleri,385.27009
1777,ISTANBUL AREL UNIVERSITESI,Makine Muhendisligi,385.22189
1778,KTO KARATAY UNIVERSITESI,Psikoloji,385.20906
1779,ISTANBUL GELISIM UNIVERSITESI,Havacilik Elektrik ve Elektronigi,385.19751
1780,ESKISEHIR OSMANGAZI UNIVERSITESI,Sinif Ogretmenligi,385.17405
1781,ANKARA HACI BAYRAM VELI UNIVERSITESI,Rus Dili ve Edebiyati,385.15168
1782,IBN HALDUN UNIVERSITESI,Sosyoloji,385.0828
1783,SAKARYA UNIVERSITESI,Psikoloji,385.0809
1784,ISTANBUL ESENYURT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,385.07691
1785,UFUK UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,385.06221
1786,DOGUS UNIVERSITESI,Psikoloji,385.05605
1787,HATAY MUSTAFA KEMAL UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,385.02277
1788,ISTANBUL GELISIM UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,385.0138
1789,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Turkce Ogretmenligi,384.99207
1790,DOKUZ EYLUL UNIVERSITESI,Cografya Ogretmenligi,384.97141
1791,KIRKLARELI UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,384.94221
1792,BASKENT UNIVERSITESI,Ic Mimarlik ve Cevre Tasarimi,384.82874
1793,ISTANBUL RUMELI UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,384.80482
1794,LEFKE AVRUPA UNIVERSITESI,Ingilizce Ogretmenligi-Elt,384.76848
1795,LEFKE AVRUPA UNIVERSITESI,Okul Oncesi Ogretmenligi,384.73454
1796,BURSA ULUDAG UNIVERSITESI,Molekuler Biyoloji ve Genetik,384.69746
1797,AFYON KOCATEPE UNIVERSITESI,Turkce Ogretmenligi,384.67716
1798,ISTINYE UNIVERSITESI,Dil ve Konusma Terapisi,384.67408
1799,DICLE UNIVERSITESI,Sinif Ogretmenligi,384.67004
1800,GAZIANTEP UNIVERSITESI,Endustri Muhendisligi,384.665
1801,SELCUK UNIVERSITESI,Psikoloji,384.66427
1802,IZMIR EKONOMI UNIVERSITESI,Sosyoloji,384.64533
1803,BASKENT UNIVERSITESI,Sinif Ogretmenligi,384.60632
1804,TARSUS UNIVERSITESI,Dil ve Konusma Terapisi,384.59387
1805,ORDU UNIVERSITESI,Turkce Ogretmenligi,384.54161
1806,KIRIKKALE UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,384.52453
1807,FENERBAHCE UNIVERSITESI,"Radyo, Televizyon ve Sinema",384.46155
1808,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Deniz Ulastirma Isletme Muhendisligi,384.39372
1809,OZYEGIN UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,384.37575
1810,TRAKYA UNIVERSITESI,Turkce Ogretmenligi,384.36181
1811,YEDITEPE UNIVERSITESI,Tarim Ticareti ve Isletmeciligi,384.35068
1812,ISTANBUL BEYKENT UNIVERSITESI,Psikoloji,384.34249
1813,ATATURK UNIVERSITESI,Turkce Ogretmenligi,384.24971
1814,HACETTEPE UNIVERSITESI,Kimya,384.21481
1815,KASTAMONU UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,384.20784
1816,MANISA CELÂL BAYAR UNIVERSITESI,Turkce Ogretmenligi,384.08718
1817,SAKARYA UNIVERSITESI,Almanca Mutercim ve Tercumanlik,384.07463
1818,IZMIR KATIP CELEBI UNIVERSITESI,Insaat Muhendisligi,384.06873
1819,KUTAHYA DUMLUPINAR UNIVERSITESI,Turkce Ogretmenligi,384.00741
1820,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Gemi Makineleri Isletme Muhendisligi,384.00163
1821,KUTAHYA DUMLUPINAR UNIVERSITESI,Ingiliz Dili ve Edebiyati,383.99323
1822,GIRESUN UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,383.9609
1823,ONDOKUZ MAYIS UNIVERSITESI,Sinif Ogretmenligi,383.94309
1824,SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,Bilgisayar Muhendisligi,383.82469
1825,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Tarih,383.8148
1826,ERCIYES UNIVERSITESI,Sinif Ogretmenligi,383.70679
1827,VAN YUZUNCU YIL UNIVERSITESI,Matematik Ogretmenligi,383.64069
1828,ESKISEHIR OSMANGAZI UNIVERSITESI,Karsilastirmali Edebiyat,383.62988
1829,SIVAS CUMHURIYET UNIVERSITESI,Turkce Ogretmenligi,383.51893
1830,DOGUS UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,383.51678
1831,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Dil ve Konusma Terapisi,383.50939
1832,HATAY MUSTAFA KEMAL UNIVERSITESI,Turkce Ogretmenligi,383.47383
1833,KIRIKKALE UNIVERSITESI,Turkce Ogretmenligi,383.39906
1834,SIIRT UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,383.38257
1835,BALIKESIR UNIVERSITESI,Turk Dili ve Edebiyati Ogretmenligi,383.37216
1836,IZMIR EKONOMI UNIVERSITESI,Fizik,383.3618
1837,BASKENT UNIVERSITESI,Halkla Iliskiler ve Tanitim,383.34797
1838,BARTIN UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,383.34483
1839,ISTANBUL UNIVERSITESI,Arap Dili ve Edebiyati,383.33307
1840,ULUSLARARASI SARAYBOSNA UNIVERSITESI,Psikoloji,383.25563
1841,YOZGAT BOZOK UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,383.21544
1842,ATILIM UNIVERSITESI,Enerji Sistemleri Muhendisligi,383.2154
1843,ISTANBUL TOPKAPI UNIVERSITESI,Dijital Oyun Tasarimi,383.17472
1844,DUZCE UNIVERSITESI,Turkce Ogretmenligi,383.14249
1845,EGE UNIVERSITESI,Matematik,383.13888
1846,KILIS 7 ARALIK UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,383.06162
1847,ANKARA MEDIPOL UNIVERSITESI,Ergoterapi,383.05135
1848,SELCUK UNIVERSITESI,Sinif Ogretmenligi,382.98917
1849,CANKAYA UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,382.9763
1850,ESKISEHIR TEKNIK UNIVERSITESI,Malzeme Bilimi ve Muhendisligi,382.96859
1851,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Enerji Sistemleri Muhendisligi,382.93144
1852,ISTANBUL GALATA UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,382.91135
1853,GAZI UNIVERSITESI,Istatistik,382.86474
1854,ANKARA UNIVERSITESI,Gazetecilik,382.85038
1855,NIGDE OMER HALISDEMIR UNIVERSITESI,Turkce Ogretmenligi,382.75546
1856,AYDIN ADNAN MENDERES UNIVERSITESI,Psikoloji,382.66884
1857,MANISA CELÂL BAYAR UNIVERSITESI,Makine Muhendisligi,382.62939
1858,BAYBURT UNIVERSITESI,Ingilizce Ogretmenligi,382.62544
1859,MARMARA UNIVERSITESI,Kimya,382.61217
1860,USAK UNIVERSITESI,Turkce Ogretmenligi,382.57162
1861,GAZI UNIVERSITESI,Matematik,382.48538
1862,ATILIM UNIVERSITESI,Havacilik Yonetimi,382.4482
1863,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Japon Dili ve Edebiyati,382.39275
1864,GAZI UNIVERSITESI,Sosyal Bilgiler Ogretmenligi,382.33438
1865,CUKUROVA UNIVERSITESI,Psikoloji,382.32071
1866,ISTANBUL 29 MAYIS UNIVERSITESI,Turk Dili ve Edebiyati,382.30613
1867,HASAN KALYONCU UNIVERSITESI,Elektrik-Elektronik Muhendisligi,382.21588
1868,RECEP TAYYIP ERDOGAN UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,382.21049
1869,AMASYA UNIVERSITESI,Turkce Ogretmenligi,382.19784
1870,ERCIYES UNIVERSITESI,Cin Dili ve Edebiyati,382.1797
1871,ADIYAMAN UNIVERSITESI,Turkce Ogretmenligi,382.12218
1872,ISTANBUL UNIVERSITESI,Sanat Tarihi,382.11773
1873,MERSIN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,382.08291
1874,MUGLA SITKI KOCMAN UNIVERSITESI,Dijital Oyun Tasarimi,382.02565
1875,MARMARA UNIVERSITESI,Beslenme ve Diyetetik,382.00991
1876,CUKUROVA UNIVERSITESI,Veteriner,382.00331
1877,IZMIR BAKIRCAY UNIVERSITESI,Psikoloji,381.95752
1878,MERSIN UNIVERSITESI,Sinif Ogretmenligi,381.84878
1879,DEMIROGLU BILIM UNIVERSITESI,Molekuler Biyoloji ve Genetik,381.77061
1880,BEYKOZ UNIVERSITESI,Cizgi Film ve Animasyon,381.75685
1881,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Turkce Ogretmenligi,381.66533
1882,FENERBAHCE UNIVERSITESI,Yonetim Bilisim Sistemleri,381.60109
1883,ISTANBUL MEDENIYET UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,381.51239
1884,MARMARA UNIVERSITESI,Cevre Muhendisligi,381.47685
1885,GAZI UNIVERSITESI,Beslenme ve Diyetetik,381.41147
1886,ISTANBUL AYDIN UNIVERSITESI,Insaat Muhendisligi,381.38231
1887,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Turkce Ogretmenligi,381.3416
1888,YASAR UNIVERSITESI,Insaat Muhendisligi,381.24801
1889,ANKARA UNIVERSITESI,Turk Dili ve Edebiyati,381.23181
1890,BIRUNI UNIVERSITESI,Hemsirelik,381.11608
1891,AKSARAY UNIVERSITESI,Turkce Ogretmenligi,381.03008
1892,TURK-ALMAN UNIVERSITESI,Sosyoloji,381.02083
1893,BAHCESEHIR KIBRIS UNIVERSITESI,Yazilim Muhendisligi,381.01232
1894,ISTANBUL AYDIN UNIVERSITESI,Gorsel Iletisim Tasarimi,380.94845
1895,ISTANBUL BEYKENT UNIVERSITESI,Yonetim Bilisim Sistemleri,380.92701
1896,KTO KARATAY UNIVERSITESI,Hemsirelik,380.89353
1897,GAZIANTEP UNIVERSITESI,Sinif Ogretmenligi,380.83363
1898,ISTANBUL MEDENIYET UNIVERSITESI,Gorsel Iletisim Tasarimi,380.82506
1899,DOKUZ EYLUL UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,380.8243
1900,SIIRT UNIVERSITESI,Turkce Ogretmenligi,380.80131
1901,GIRESUN UNIVERSITESI,Turkce Ogretmenligi,380.78256
1902,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Kimya Muhendisligi,380.75687
1903,KIRSEHIR AHI EVRAN UNIVERSITESI,Turkce Ogretmenligi,380.71901
1904,ISTANBUL NISANTASI UNIVERSITESI,Yonetim Bilisim Sistemleri,380.71581
1905,BURSA ULUDAG UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,380.63773
1906,ULUSLARARASI KIBRIS UNIVERSITESI,Okul Oncesi Ogretmenligi,380.61186
1907,UFUK UNIVERSITESI,Yonetim Bilisim Sistemleri,380.59207
1908,BEZM-I ÂLEM VAKIF UNIVERSITESI,Fizyoterapi ve Rehabilitasyon,380.42829
1909,ISTANBUL MEDIPOL UNIVERSITESI,Rehberlik ve Psikolojik Danismanlik,380.30412
1910,ABDULLAH GUL UNIVERSITESI,Molekuler Biyoloji ve Genetik,380.25895
1911,CANAKKALE ONSEKIZ MART UNIVERSITESI,Gastronomi ve Mutfak Sanatlari,380.24276
1912,MUGLA SITKI KOCMAN UNIVERSITESI,Psikoloji,380.21829
1913,IBN HALDUN UNIVERSITESI,Iktisat,380.2079
1914,TED UNIVERSITESI,Sosyoloji,380.18652
1915,ALTINBAS UNIVERSITESI,Yonetim Bilisim Sistemleri,380.1727
1916,IZMIR KATIP CELEBI UNIVERSITESI,Kimya,380.16596
1917,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Metalurji ve Malzeme Muhendisligi,380.08595
1918,MARMARA UNIVERSITESI,Mekatronik Muhendisligi,379.99417
1919,ISTANBUL KENT UNIVERSITESI,Dil ve Konusma Terapisi,379.90992
1920,MUS ALPARSLAN UNIVERSITESI,Ilkogretim Matematik Ogretmenligi,379.80099
1921,NECMETTIN ERBAKAN UNIVERSITESI,Turk Dili ve Edebiyati Ogretmenligi,379.78276
1922,KARAMANOGLU MEHMETBEY UNIVERSITESI,Turkce Ogretmenligi,379.75808
1923,SINOP UNIVERSITESI,Turkce Ogretmenligi,379.75067
1924,ISTANBUL UNIVERSITESI,Leh Dili ve Edebiyati,379.62409
1925,CANKAYA UNIVERSITESI,Halkla Iliskiler ve Reklamcilik,379.60433
1926,PAMUKKALE UNIVERSITESI,Psikoloji,379.56445
1927,LOKMAN HEKIM UNIVERSITESI,Hemsirelik,379.55862
1928,CANAKKALE ONSEKIZ MART UNIVERSITESI,Sinif Ogretmenligi,379.48376
1929,TOKAT GAZIOSMANPASA UNIVERSITESI,Turkce Ogretmenligi,379.457
1930,MUS ALPARSLAN UNIVERSITESI,Ingilizce Ogretmenligi,379.43708
1931,PIRI REIS UNIVERSITESI,Denizcilik Isletmeleri Yonetimi,379.36199
